date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-02-01,584.0,584.0,69103.0,615270.61,744.64,1240.0,2345.0,698.0,1647.0,2420.0,566.0,1.0,925461.28,0.0,1840275.0,142.0,142.0,397.0,1279.0,78425.0,762758.79,912.191,1262355.72,26704.64,584.0,0.0,235891.22,,,,,147488.18000000005,167.55100000000004
2022-02-02,708.0,708.0,58023.0,760804.29,930.923,1535.0,2343.0,895.0,1448.0,2864.0,720.0,1.0,1080439.33,0.0,2149712.0,124.0,124.0,345.0,1069.0,83602.0,674569.4299999999,774.151,1172923.8,8070.3,1.32,0.0,168193.44,,,,,-86234.8600000001,-156.77200000000005
2022-02-03,632.0,632.0,63629.0,662643.76,859.311,1400.0,2517.0,880.0,1637.0,2190.0,608.0,1.0,776126.57,0.0,1733621.0,123.0,122.0,192.0,806.0,25199.0,479898.51999999996,483.699,834408.2,11079.28,0.0,0.0,114749.56,,,,,-182745.24000000005,-375.612
2022-02-04,722.0,722.0,135962.0,738546.04,886.376,1514.0,2854.0,861.0,1993.0,2483.0,702.0,1.0,778481.53,0.0,1754752.0,111.0,111.0,214.0,836.0,42218.0,490154.47,565.129,795451.64,14484.16,0.0,0.0,170373.14,,,,,-248391.57000000007,-321.24699999999996
2022-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,75.0,233.0,7624.0,196029.63999999998,257.542,316891.14,0.0,0.0,0.0,75168.14,,,,,196029.63999999998,257.542
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,118.0,812.0,26132.0,732137.27,895.053,1336886.0,0.0,0.0,0.0,127388.54000000001,,,,,732137.27,895.053
2022-02-07,632.0,632.0,57096.0,711976.28,904.513,1418.0,2547.0,843.0,1704.0,2931.0,647.0,1.0,1155478.27,0.0,2430101.0,82.0,82.0,271.0,812.0,27451.0,457944.05,509.204,829942.42,5865.2,0.88,0.0,80079.6,,,,,-254032.23000000004,-395.309
2022-02-08,698.0,698.0,83217.0,560841.9,649.056,1321.0,2587.0,652.0,1935.0,2622.0,681.0,1.0,953442.6,0.0,2186629.25,106.0,106.0,235.0,913.0,106890.0,563998.22,652.33,1009426.66,32512.12,992.0,0.0,85065.66,,,,,3156.319999999949,3.274000000000001
2022-02-09,557.0,557.0,74423.0,570712.43,701.933,1165.0,2171.0,741.0,1430.0,2981.0,577.0,1.0,1221279.2,0.0,2571488.0,101.0,101.0,211.0,1051.0,33214.0,608769.47,677.1179999999999,1017115.9,6199.54,0.0,0.0,194223.5,,,,,38057.03999999992,-24.815000000000055
2022-02-10,649.0,649.0,55819.0,623966.02,781.651,1318.0,2237.0,703.0,1534.0,2438.0,641.0,1.0,895991.36,0.0,2046121.0,114.0,114.0,293.0,909.0,35344.0,364981.06,411.452,522022.68,46206.12,19.9,0.0,161717.13999999998,,,,,-258984.96000000002,-370.19899999999996
2022-02-11,619.0,619.0,48303.0,754620.04,919.812,1470.0,2251.0,854.0,1397.0,2493.0,623.0,1.0,981365.3099999999,0.0,1930301.25,117.0,117.0,362.0,1478.0,69560.0,994073.07,1180.518,1687530.08,16358.04,0.0,0.0,284258.02,,,,,239453.0299999999,260.706
2022-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
2022-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,85.0,627.0,18127.0,605393.48,774.2669999999999,1125980.2,0.0,0.0,0.0,84806.76,,,,,605393.48,774.2669999999999
2022-02-14,746.0,746.0,63772.0,783870.38,991.083,1699.0,2706.0,1086.0,1620.0,3480.0,751.0,1.0,1369862.72,0.0,3052145.0,115.0,115.0,238.0,820.0,30116.0,570477.09,646.05,908602.12,10855.86,0.0,0.0,221496.88,,,,,-213393.29000000004,-345.033
2022-02-15,691.0,691.0,88717.0,685461.17,843.587,1413.0,2507.0,904.0,1603.0,2325.0,655.0,1.0,822405.6,0.0,1823247.0,104.0,103.0,220.0,1034.0,192469.0,650729.24,841.012,1071594.26,10935.4,0.0,0.0,218928.82,,,,,-34731.93000000005,-2.5750000000000455
2022-02-16,624.0,624.0,62190.0,639700.54,758.124,1314.0,2358.0,765.0,1593.0,3059.0,639.0,1.0,1035138.21,0.0,2644559.0,185.0,185.0,289.0,1089.0,279797.0,412672.0,483.128,653875.5,66074.78,0.0,0.0,105393.72,,,,,-227028.54000000004,-274.99600000000004
2022-02-17,644.0,644.0,69639.0,665222.19,862.586,1443.0,2549.0,884.0,1665.0,2501.0,618.0,1.0,751732.38,0.0,1956022.0,105.0,105.0,293.0,1291.0,39531.0,834220.0599999999,1020.802,1471025.58,13669.14,174.16,0.0,183571.24,,,,,168997.87,158.216
2022-02-18,719.0,719.0,63430.0,667805.45,860.916,1472.0,2573.0,808.0,1765.0,2850.0,753.0,1.0,971882.83,0.0,2116437.0,124.0,122.0,324.0,989.0,39220.0,535849.84,630.3439999999999,945041.4,12175.0,0.0,0.0,114484.08,,,,,-131955.61,-230.57200000000012
