date,packing_pallets,packing_gross_kg,outbound_gross_kg,inbound_gross_kg,handling_in_qty,handling_out_qty,inbound_docs,inbound_lines,outbound_docs,outbound_orders,wrapping_qty,net_flow_gross_kg,gross_stock_proxy_kg
2026-04-11,0.0,0.0,0.0,74287.82184644975,2153.892563916909,3887.3556042658743,,,,,,74287.82184644975,6868326.750445139
2026-04-12,0.0,0.0,19031.562284176776,405548.14457400976,3587.7138878990727,2854.351046032259,,,,,,386516.582289833,7254843.332734972
2026-04-13,1262.5084169714346,924642.2316924466,684304.0995523277,455360.84434939764,4357.173818751143,10723.073822579892,,,,,,-228943.25520293,7025900.077532042
2026-04-14,1348.8433750667728,936608.6852379523,662768.3100647358,445777.99787173496,4405.953601426463,10285.65184228202,,,,,,-216990.31219300086,6808909.765339041
2026-04-15,1294.5570302754372,907462.2779010201,637591.2921435267,424750.50672136305,4317.294540985546,9249.432879165695,,,,,,-212840.78542216367,6596068.979916878
2026-04-16,1316.3907117467252,848518.6226442241,652823.3257975548,471083.91829305456,4907.928890378413,9859.246330954922,,,,,,-181739.40750450024,6414329.572412377
2026-04-17,1361.8058137467583,991746.0386912659,759064.5424212206,360939.5605516323,4190.355554277851,11910.620880978602,,,,,,-398124.98186958826,6016204.59054279
2026-04-18,0.0,0.0,0.0,72606.14145402939,2325.550228539367,4142.265070903243,,,,,,72606.14145402939,6088810.731996818
2026-04-19,6.167983406933303,0.0,5461.431129669902,397505.5114165656,3841.6972431202666,3323.547582614311,,,,,,392044.08028689574,6480854.812283714
2026-04-20,1239.092739572109,904085.8052853986,666111.5411715399,449879.60833581974,4518.930739488903,11210.046534014475,,,,,,-216231.9328357202,6264622.879447995
2026-04-21,1338.143170136883,904170.9662607199,646172.1065059552,434082.9788905886,4593.7026070351885,10852.822960642021,,,,,,-212089.1276153666,6052533.751832628
2026-04-22,1250.117197115486,881963.0865618144,620986.3246346031,413681.96515135193,4477.81690879499,10067.789487287948,,,,,,-207304.35948325117,5845229.392349376
2026-04-23,1278.2884626541645,822577.4078995542,636453.008138477,454763.1735326842,5064.556102737785,10393.42270849695,,,,,,-181689.83460579277,5663539.557743584
2026-04-24,1315.016539312349,972570.807552765,749154.4887024985,345361.2652919466,4252.402565976219,12100.116980464252,,,,,,-403793.2234105519,5259746.334333032
2026-04-25,0.0,0.0,0.0,55457.908592221684,2381.9768890428586,4014.294018810076,,,,,,55457.908592221684,5315204.242925254
2026-04-26,8.916247567221745,0.0,2207.7586680398235,379622.2477587265,3885.4076117805325,3501.867124642555,,,,,,377414.48909068666,5692618.73201594
2026-04-27,1196.6837349490181,892830.231648562,652015.8270406127,433115.50581181794,4527.11730583701,11420.474797757635,,,,,,-218900.32122879475,5473718.410787146
2026-04-28,1270.380674739318,886582.8045566202,627654.5534873555,412518.87126222585,4595.070802918677,11141.951525329625,,,,,,-215135.68222512963,5258582.728562016
2026-04-29,1194.3317505801783,873424.6444114342,605776.0679443141,393451.02290479414,4445.131369435906,10595.208339407092,,,,,,-212325.04503951996,5046257.683522496
2026-04-30,1156.112623962155,759484.934041498,598527.7580418037,397921.92952419276,4527.403373582236,10347.593401669305,,,,,,-200605.82851761096,4845651.855004885
2026-05-01,1085.2898801563201,804131.5138760601,616068.4466294213,282693.58424023306,3611.550776268091,10808.395468731174,,,,,,-333374.86238918826,4512276.992615697
2026-05-02,0.0,0.0,0.0,64952.24128897097,2333.2827748921077,3236.7701993087403,,,,,,64952.24128897097,4577229.233904668
2026-05-03,0.0,0.0,0.0,360276.23153315904,3739.327837611656,3392.333257943845,,,,,,360276.23153315904,4937505.465437828
2026-05-04,1099.6964270160204,843484.6480339767,610036.4218090961,419564.7110613604,4406.715801629818,11256.568268169718,,,,,,-190471.71074773575,4747033.754690092
