date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique
2025-05-23,2025,21,5,2540,883.89213,458,886,635
2025-05-24,2025,21,6,38,35.52784,0,31,5
2025-05-26,2025,22,1,2479,802.61314,469,818,660
2025-05-27,2025,22,2,3452,1014.7746999999999,463,1138,698
2025-05-28,2025,22,3,2969,1013.974107,450,921,619
2025-05-29,2025,22,4,2979,1063.822415,395,1050,658
2025-05-30,2025,22,5,2442,1102.454191,330,1115,527
2025-06-01,2025,22,7,10,0.075,9,1,8
2025-06-02,2025,23,1,2457,864.067331,341,801,509
2025-06-03,2025,23,2,2896,992.210736,472,978,659
2025-06-04,2025,23,3,3335,1041.272009,483,1043,683
2025-06-05,2025,23,4,2942,829.2541659999999,491,795,663
2025-06-06,2025,23,5,2699,1027.334039,424,1043,642
2025-06-07,2025,23,6,98,42.1342,0,44,11
2025-06-09,2025,24,1,2134,819.302582,299,898,475
2025-06-10,2025,24,2,2867,947.857523,440,925,670
