date,receipts_lines,receipts_brutto_kg,receipts_netto_kg,receipts_qty,receipts_cbm,receipts_consumables_kg,receipts_equipment_kg,receipts_other_kg,receipts_docs,receipts_aviza,receipts_unloads,receipts_articles,receipts_suppliers,receipts_countries
2022-03-10,815.0,424892.01,0.0,25282.0,499.132,418205.86,2431.77,4254.38,127.0,127.0,52.0,306.0,21.0,10.0
2022-03-11,1215.0,776041.79,0.0,70112.0,947.193,755625.05,14472.460000000001,5944.28,122.0,122.0,62.0,360.0,24.0,10.0
2022-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,682.0,663567.82,0.0,20776.0,839.007,663567.82,0.0,0.0,13.0,13.0,13.0,86.0,1.0,1.0
2022-03-14,883.0,520784.84,0.0,21056.0,660.324,508616.55,6559.48,5608.8099999999995,92.0,92.0,41.0,187.0,13.0,10.0
2022-03-15,1222.0,666821.22,0.0,54352.0,834.885,655816.02,5540.86,5464.34,131.0,130.0,85.0,417.0,27.0,11.0
2022-03-16,1157.0,712110.11,0.0,87926.0,878.644,693651.21,10424.63,8034.27,140.0,140.0,86.0,328.0,21.0,10.0
2022-03-17,1054.0,602095.61,0.0,32878.0,687.773,570849.33,24972.16,6274.12,126.0,125.0,74.0,335.0,19.0,6.0
2022-03-18,957.0,395802.88,0.0,71494.0,491.099,374263.05,8566.880000000001,12972.95,172.0,171.0,132.0,374.0,16.0,9.0
2022-03-19,245.0,215800.83,0.0,7379.0,283.711,215800.83,0.0,0.0,5.0,5.0,5.0,65.0,1.0,1.0
2022-03-20,766.0,707047.9,0.0,22966.0,908.1659999999999,707047.9,0.0,0.0,14.0,14.0,14.0,102.0,1.0,1.0
2022-03-21,989.0,619110.01,0.0,38831.0,819.011,615658.3099999999,1579.12,1872.58,108.0,107.0,77.0,315.0,19.0,9.0
2022-03-22,1034.0,613330.88,0.0,33707.0,754.558,607098.8,5336.65,895.4300000000001,96.0,95.0,57.0,280.0,18.0,8.0
2022-03-23,1033.0,640496.36,0.0,77669.0,805.76,628912.35,5866.76,5717.25,111.0,111.0,68.0,324.0,21.0,13.0
2022-03-24,708.0,227798.57,0.0,136446.0,232.836,217959.6,5033.57,4805.4,140.0,140.0,83.0,294.0,23.0,11.0
2022-03-25,1090.0,642665.91,0.0,68982.0,711.731,633668.27,7234.32,1763.32,115.0,115.0,73.0,366.0,22.0,14.0
2022-03-26,444.0,380383.11,0.0,14737.0,489.598,380383.11,0.0,0.0,8.0,8.0,8.0,105.0,1.0,1.0
2022-03-27,433.0,403086.77,0.0,11844.0,507.77099999999996,403086.77,0.0,0.0,8.0,8.0,8.0,82.0,1.0,1.0
2022-03-28,678.0,330971.49,0.0,392036.0,355.964,293809.17,6814.22,30348.1,102.0,102.0,51.0,232.0,24.0,14.0
2022-03-29,1436.0,1132211.17,0.0,41747.0,1408.546,1127923.32,1033.67,3254.18,92.0,92.0,50.0,238.0,14.0,8.0
2022-03-30,962.0,623023.05,0.0,74878.0,770.004,615207.61,1131.28,6684.16,131.0,130.0,94.0,309.0,36.0,14.0
2022-03-31,1208.0,782934.11,0.0,62666.0,893.4929999999999,750110.07,2368.2,30455.84,108.0,108.0,63.0,286.0,25.0,11.0
2022-04-01,840.0,434543.98,0.0,44297.0,494.64,417649.29,13524.93,3369.76,85.0,84.0,46.0,260.0,19.0,7.0
2022-04-02,120.0,98785.70999999999,0.0,4110.0,135.233,98785.70999999999,0.0,0.0,2.0,2.0,2.0,36.0,1.0,1.0
2022-04-03,758.0,713812.69,0.0,24150.0,894.183,713812.69,0.0,0.0,15.0,15.0,14.0,108.0,1.0,1.0
2022-04-04,936.0,660404.36,0.0,26443.0,823.31,650468.98,1996.15,7939.2300000000005,93.0,93.0,39.0,196.0,15.0,10.0
2022-04-05,397.0,129116.26,0.0,17227.0,141.564,121392.81,2773.67,4949.78,89.0,89.0,55.0,166.0,19.0,12.0
2022-04-06,902.0,590521.42,0.0,28446.0,705.371,582693.27,6286.55,1541.6,74.0,74.0,35.0,224.0,17.0,11.0
2022-04-07,1285.0,933231.57,0.0,58700.0,1093.3,922074.0599999999,8396.27,2761.2400000000002,83.0,83.0,45.0,348.0,16.0,8.0
2022-04-08,803.0,515472.07,0.0,54319.0,603.187,507091.07,5667.65,2713.35,113.0,112.0,77.0,211.0,22.0,10.0
2022-04-09,283.0,250051.69,0.0,10814.0,298.175,250051.69,0.0,0.0,5.0,5.0,5.0,77.0,1.0,1.0
2022-04-10,571.0,565516.68,0.0,16313.0,706.6179999999999,565516.68,0.0,0.0,11.0,11.0,11.0,72.0,1.0,1.0
2022-04-11,948.0,671282.38,0.0,56545.0,780.446,664764.2,4421.0,2097.18,72.0,72.0,37.0,195.0,12.0,8.0
2022-04-12,931.0,596965.46,0.0,100597.0,722.209,581443.3,4326.41,11195.75,94.0,92.0,58.0,291.0,16.0,8.0
2022-04-13,787.0,387163.13,0.0,23373.0,431.53499999999997,376860.48,5993.5,4309.15,91.0,91.0,37.0,301.0,20.0,11.0
2022-04-14,1184.0,838670.55,0.0,50510.0,1003.923,830076.73,5441.99,3151.83,121.0,121.0,65.0,266.0,22.0,12.0
2022-04-15,610.0,546137.12,0.0,17899.0,728.1569999999999,546137.12,0.0,0.0,12.0,12.0,11.0,109.0,1.0,1.0
2022-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-17,667.0,587024.16,0.0,17092.0,799.289,587024.16,0.0,0.0,13.0,13.0,13.0,92.0,1.0,1.0
2022-04-18,590.0,557227.64,0.0,14808.0,732.751,557227.64,0.0,0.0,11.0,11.0,11.0,93.0,1.0,1.0
2022-04-19,1409.0,1029527.4299999999,0.0,71254.0,1214.893,1019856.52,6898.42,2772.4900000000002,124.0,124.0,65.0,283.0,24.0,13.0
2022-04-20,616.0,190719.67,0.0,47496.0,176.703,180249.57,5484.39,4985.71,106.0,106.0,70.0,315.0,29.0,13.0
2022-04-21,945.0,570924.43,0.0,55437.0,695.112,547030.64,2873.4,21020.39,103.0,102.0,54.0,301.0,19.0,8.0
2022-04-22,764.0,461948.62,0.0,26695.0,550.822,450373.91,3299.73,8274.98,112.0,112.0,49.0,242.0,20.0,9.0
2022-04-23,464.0,427523.67,0.0,12102.0,568.832,427523.67,0.0,0.0,9.0,9.0,9.0,79.0,1.0,1.0
2022-04-24,707.0,670911.48,0.0,22244.0,844.8729999999999,670911.48,0.0,0.0,16.0,16.0,16.0,104.0,1.0,1.0
2022-04-25,567.0,282942.45,0.0,59865.0,291.578,278460.74,1004.57,3477.14,119.0,119.0,77.0,234.0,20.0,10.0
2022-04-26,1747.0,1171576.68,0.0,84004.0,1480.355,1131455.31,36142.09,3979.28,150.0,150.0,107.0,411.0,30.0,15.0
2022-04-27,899.0,614102.57,0.0,31122.0,770.654,605897.99,6675.25,1529.33,118.0,118.0,86.0,252.0,26.0,12.0
2022-04-28,907.0,511392.63,0.0,39263.0,632.038,505067.95,1326.39,4998.29,107.0,107.0,55.0,357.0,23.0,11.0
2022-04-29,584.0,322375.43,0.0,24390.0,379.673,315457.35,1650.31,5267.77,84.0,84.0,34.0,256.0,17.0,6.0
2022-04-30,229.0,201498.63,0.0,8349.0,259.598,201498.63,0.0,0.0,4.0,4.0,4.0,65.0,1.0,1.0
2022-05-01,732.0,708235.42,0.0,23919.0,906.7239999999999,708235.42,0.0,0.0,15.0,15.0,14.0,95.0,1.0,1.0
2022-05-02,923.0,691940.94,0.0,26653.0,882.576,687235.47,3896.54,808.93,91.0,91.0,50.0,210.0,19.0,8.0
2022-05-03,705.0,472449.08,0.0,215151.0,610.116,465596.96,1759.54,5092.58,72.0,71.0,71.0,244.0,13.0,10.0
2022-05-04,831.0,594695.62,0.0,30073.0,675.331,588787.13,2743.58,3164.91,90.0,90.0,54.0,200.0,24.0,11.0
2022-05-05,742.0,396850.44,0.0,88405.0,432.24,384715.6,6534.44,5600.4,113.0,112.0,54.0,278.0,18.0,12.0
2022-05-06,1267.0,828612.1,0.0,40279.0,979.9929999999999,819987.58,5710.63,2913.89,96.0,96.0,45.0,328.0,12.0,8.0
2022-05-07,402.0,357985.32,0.0,10082.0,470.111,357985.32,0.0,0.0,16.0,16.0,16.0,71.0,1.0,1.0
2022-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,409.0,198464.12,0.0,312726.0,190.308,171983.32,2117.7,24363.1,90.0,90.0,50.0,157.0,26.0,11.0
2022-05-10,1498.0,1203788.64,0.0,55431.0,1487.041,1190375.8699999999,2146.0,11266.77,135.0,135.0,89.0,267.0,24.0,13.0
2022-05-11,718.0,377282.35,0.0,18674.0,495.493,355034.92,5069.33,17178.1,118.0,110.0,84.0,191.0,15.0,8.0
2022-05-12,1628.0,1075922.5,0.0,72465.0,1318.0,1065044.44,4633.77,6244.29,156.0,156.0,67.0,483.0,18.0,10.0
2022-05-13,520.0,185312.6,0.0,51701.0,212.111,178661.08,3680.36,2971.16,111.0,111.0,61.0,278.0,24.0,11.0
2022-05-14,485.0,448516.08,0.0,16450.0,538.6949999999999,448516.08,0.0,0.0,10.0,10.0,9.0,82.0,1.0,1.0
2022-05-15,487.0,465418.62,0.0,14097.0,570.507,465418.62,0.0,0.0,10.0,10.0,10.0,70.0,1.0,1.0
2022-05-16,807.0,446022.3,0.0,20955.0,559.032,435138.73,5999.87,4883.7,131.0,128.0,74.0,198.0,20.0,9.0
2022-05-17,1001.0,671110.76,0.0,32201.0,836.345,659403.81,7803.83,3903.12,107.0,107.0,59.0,270.0,21.0,11.0
2022-05-18,1279.0,742776.61,0.0,61674.0,860.943,736005.89,4979.89,1790.83,159.0,151.0,121.0,406.0,19.0,11.0
2022-05-19,847.0,442933.81,0.0,26325.0,477.371,436041.88,3403.18,3488.75,112.0,112.0,63.0,317.0,31.0,14.0
2022-05-20,1007.0,535711.78,0.0,392584.0,585.607,508848.27999999997,5474.7699999999995,21388.73,95.0,95.0,55.0,359.0,18.0,10.0
2022-05-21,197.0,175319.61,0.0,4276.0,217.658,175319.61,0.0,0.0,4.0,4.0,4.0,41.0,1.0,1.0
