date,customer,kmen_total_people,agency_total_people,kmen_inbound_morning,kmen_inbound_afternoon,kmen_loading_morning,kmen_loading_afternoon,kmen_pick_morning,kmen_pick_afternoon,kmen_other_morning,kmen_other_afternoon,agency_inbound_day,agency_inbound_night,agency_loading_day,agency_loading_night,agency_pick_day,agency_pick_night,agency_other_day,agency_other_night,notes,helper_binhits,helper_packing_gw_t,helper_trips_total,helper_containers_count,helper_loaded_orders,helper_loaded_gw_t,helper_inbound_kg,helper_inbound_docs,helper_packing_orders,helper_packing_pallets,helper_activity_people,helper_activity_kmen_people,helper_activity_agency_people,helper_activity_day_people,helper_activity_night_people,helper_esab_share,helper_paid_hours_total,suggested_agency_inbound_day,suggested_agency_inbound_night,suggested_agency_other_day,suggested_agency_other_night,suggested_agency_pick_day,suggested_agency_pick_night,suggested_kmen_inbound_afternoon,suggested_kmen_inbound_morning,suggested_kmen_other_afternoon,suggested_kmen_other_morning,suggested_kmen_pick_afternoon,suggested_kmen_pick_morning,suggested_kmen_loading_morning,suggested_kmen_loading_afternoon,suggested_agency_loading_day,suggested_agency_loading_night,helper_esab_paid_hours,helper_esab_fte_8h
2022-02-26,ESAB,,,,,,,,,,,,,,,,,,,,379.0,193.98436,,,,,305275.23,6.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-27,ESAB,,,,,,,,,,,,,,,,,,,,347.0,254.64026,,,,,560567.25,16.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-28,ESAB,,,,,,,,,,,,,,,,,,,,2551.0,895.82828,65.0,12.0,709.0,819.89822,234546.01,109.0,710.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-01,ESAB,,,,,,,,,,,,,,,,,,,,2518.0,947.98247,66.0,6.0,737.0,790.60337,943229.42,141.0,716.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-02,ESAB,,,,,,,,,,,,,,,,,,,,2938.0,1101.51715,62.0,5.0,631.0,905.63353,700914.06,97.0,632.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-03,ESAB,,,,,,,,,,,,,,,,,,,,2469.0,1010.75007,53.0,4.0,547.0,692.93094,591900.49,95.0,543.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-04,ESAB,,,,,,,,,,,,,,,,,,,,2582.0,1005.89168,81.0,5.0,846.0,917.83603,410393.89,108.0,863.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-05,ESAB,,,,,,,,,,,,,,,,,,,,455.0,274.28515,,,,,206254.62,4.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-07,ESAB,,,,,,,,,,,,,,,,,,,,2800.0,1165.38244,51.0,1.0,722.0,802.1955899999999,674934.05,99.0,727.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-08,ESAB,,,,,,,,,,,,,,,,,,,,2924.0,1204.82209,59.0,1.0,756.0,796.1092199999999,551684.12,129.0,742.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-09,ESAB,,,,,,,,,,,,,,,,,,,,2815.0,1049.46314,55.0,4.0,674.0,700.62928,614772.52,115.0,697.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-10,ESAB,,,,,,,,,,,,,,,,,,,,2882.0,1156.67125,63.0,5.0,674.0,731.20617,424892.01,127.0,670.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-11,ESAB,,,,,,,,,,,,,,,,,,,,2849.0,1220.04831,72.0,7.0,769.0,803.16134,776041.79,122.0,814.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-12,ESAB,,,,,,,,,,,,,,,,,,,,470.0,220.64268,,,,,0.0,0.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-13,ESAB,,,,,,,,,,,,,,,,,,,,244.0,192.395,,,,,663567.82,13.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-14,ESAB,,,,,,,,,,,,,,,,,,,,2185.0,847.33008,66.0,6.0,719.0,848.879,520784.84,92.0,679.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-15,ESAB,,,,,,,,,,,,,,,,,,,,2631.0,921.83273,63.0,5.0,713.0,730.32545,666821.22,131.0,704.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-16,ESAB,,,,,,,,,,,,,,,,,,,,2736.0,1167.57305,67.0,7.0,664.0,781.40163,712110.11,140.0,688.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-17,ESAB,,,,,,,,,,,,,,,,,,,,2733.0,1000.65331,67.0,5.0,583.0,600.0525,602095.61,126.0,570.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-18,ESAB,,,,,,,,,,,,,,,,,,,,2956.0,1017.93442,59.0,6.0,787.0,586.35409,395802.88,172.0,834.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-19,ESAB,,,,,,,,,,,,,,,,,,,,452.0,284.57998,,,,,215800.83,5.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-20,ESAB,,,,,,,,,,,,,,,,,,,,12.0,4.37556,,,,,707047.9,14.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-21,ESAB,,,,,,,,,,,,,,,,,,,,2811.0,1163.44416,68.0,10.0,900.0,1091.96169,619110.01,108.0,859.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-22,ESAB,,,,,,,,,,,,,,,,,,,,3372.0,1304.82232,74.0,4.0,958.0,1234.27945,613330.88,96.0,935.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-23,ESAB,,,,,,,,,,,,,,,,,,,,3034.0,1301.28192,79.0,7.0,683.0,946.41597,640496.36,111.0,701.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-24,ESAB,,,,,,,,,,,,,,,,,,,,2972.0,1161.26177,65.0,8.0,669.0,727.0503,227798.57,140.0,658.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-25,ESAB,,,,,,,,,,,,,,,,,,,,3201.0,1198.64016,86.0,13.0,880.0,1130.17329,642665.91,115.0,912.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-26,ESAB,,,,,,,,,,,,,,,,,,,,462.0,245.05911,,,,,380383.11,8.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-27,ESAB,,,,,,,,,,,,,,,,,,,,343.0,213.18111,,,,,403086.77,8.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-28,ESAB,,,,,,,,,,,,,,,,,,,,3002.0,1535.11976,73.0,5.0,865.0,1203.81549,330971.49,102.0,870.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-29,ESAB,,,,,,,,,,,,,,,,,,,,2773.0,1324.33933,72.0,7.0,837.0,1161.15035,1132211.17,92.0,794.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-30,ESAB,,,,,,,,,,,,,,,,,,,,3022.0,1329.1491,75.0,8.0,727.0,823.43224,623023.05,131.0,734.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-03-31,ESAB,,,,,,,,,,,,,,,,,,,,2557.0,1049.5338,73.0,9.0,665.0,857.18223,782934.11,108.0,656.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
