target,group,feature,lag_weeks,corr,abs_corr,n_obs
Binhits,world,rwi_total_adjusted_13w_pct,4,0.09982812992850376,0.09982812992850376,218
Binhits,world,rwi_total_adjusted_4w_pct,0,-0.07505748080152258,0.07505748080152258,222
Binhits,world,rwi_total_original,3,0.1326859666069954,0.1326859666069954,219
Binhits,world,rwi_total_original_13w_pct,0,-0.07413323746945848,0.07413323746945848,222
Binhits,world,rwi_total_original_4w_pct,4,-0.08611795446709819,0.08611795446709819,218
Binhits,world,rwi_total_trend,4,0.1497915377893626,0.1497915377893626,218
Binhits,world,rwi_total_trend_13w_pct,0,-0.1492198884088404,0.1492198884088404,222
Binhits,world,rwi_total_trend_4w_pct,2,-0.20162341921725238,0.20162341921725238,220
Binhits,world,vix,0,0.17842410732036526,0.17842410732036526,222
Binhits,world,vix_13w_pct,0,0.1304492875465352,0.1304492875465352,222
Binhits,world,vix_4w_pct,0,0.11445272308736858,0.11445272308736858,222
Binhits,internal,warehouse_pressure_index,0,0.8617408213072332,0.8617408213072332,222
Binhits,world,welding_input_price_index,1,0.1961585421680338,0.1961585421680338,221
Binhits,warehouse,wh_handling_in_qty,1,0.4198476114148374,0.4198476114148374,64
Binhits,warehouse,wh_handling_out_qty,1,0.40504696516546224,0.40504696516546224,64
Binhits,warehouse,wh_inbound_articles,0,0.33735051247460357,0.33735051247460357,217
Binhits,warehouse,wh_inbound_avizo,0,0.32332211711736764,0.32332211711736764,217
Binhits,warehouse,wh_inbound_cbm,0,0.3419304266052525,0.3419304266052525,217
Binhits,warehouse,wh_inbound_consumables_gross_kg,0,0.48132752453060895,0.48132752453060895,215
Binhits,warehouse,wh_inbound_docs,0,0.32369630356626056,0.32369630356626056,217
Binhits,warehouse,wh_inbound_equipment_gross_kg,0,0.3422181283407938,0.3422181283407938,215
Binhits,warehouse,wh_inbound_gross_kg,0,0.3548117399944348,0.3548117399944348,217
