target,group,feature,lag_weeks,corr,abs_corr,n_obs
Containers,internal,loaded_first_business_day,2,-0.030675972287275834,0.030675972287275834,220
Containers,internal,packed_first_business_day,2,-0.030675972287275834,0.030675972287275834,220
Containers,world,eu_gas_4w_pct,4,-0.030640177967170477,0.030640177967170477,218
Containers,world,eu_diesel_price,4,-0.030248567221961772,0.030248567221961772,218
Containers,world,eur_diesel_price,2,0.030176921378158257,0.030176921378158257,220
Containers,warehouse,wh_outbound_full_picks,4,-0.030042342453684822,0.030042342453684822,217
Containers,world,esab_close_4w_pct,3,0.02992948468399553,0.02992948468399553,219
Containers,world,rwi_total_trend,4,0.029444332266954986,0.029444332266954986,218
Containers,world,ea_prod_c25_4w_pct,1,-0.029162956063701836,0.029162956063701836,221
Containers,world,de_diesel_price,0,0.028810063603899413,0.028810063603899413,222
Containers,world,de_ppi_c24_c25,4,0.028787130445649182,0.028787130445649182,218
Containers,world,rwi_north_trend_4w_pct,2,-0.028402836242646567,0.028402836242646567,220
Containers,world,energy_stress_index,0,0.0282348874943688,0.0282348874943688,222
Containers,world,de_diesel_price_13w_pct,0,-0.028187876586776708,0.028187876586776708,222
Containers,world,eu_diesel_price,2,0.027985113063478482,0.027985113063478482,220
Containers,world,rwi_north_adjusted_13w_pct,4,0.02773831335867173,0.02773831335867173,218
Containers,warehouse,wh_inbound_lines,0,0.027412931273361932,0.027412931273361932,217
Containers,warehouse,wh_outbound_picks,2,0.027184357335373936,0.027184357335373936,219
Containers,world,rwi_north_original_4w_pct,1,-0.027059029509259685,0.027059029509259685,221
Containers,world,rwi_north_original_4w_pct,4,-0.027035845824790763,0.027035845824790763,218
Containers,internal,packed_tons_per_pallet,0,0.02679824873015148,0.02679824873015148,222
Containers,world,rwi_north_original,2,-0.026790113071656,0.026790113071656,220
Containers,world,rwi_total_adjusted_4w_pct,2,0.026774658697187974,0.026774658697187974,220
Containers,world,energy_stress_index,4,0.026405043242693063,0.026405043242693063,218
Containers,world,vix,1,0.02637684995038417,0.02637684995038417,221
Containers,world,ea_prod_mig_ing_13w_pct,2,0.02598094823981412,0.02598094823981412,220
Containers,internal,loaded_first_business_day,4,0.02594615753080204,0.02594615753080204,218
Containers,internal,packed_first_business_day,4,0.02594615753080204,0.02594615753080204,218
Containers,world,rwi_north_original_4w_pct,2,0.025880474087610492,0.025880474087610492,220
Containers,world,rwi_total_adjusted_4w_pct,0,-0.02582085892842363,0.02582085892842363,222
Containers,internal,loaded_is_month_end,0,0.025697820102984825,0.025697820102984825,222
Containers,world,container_market_index,3,-0.025591758092141516,0.025591758092141516,219
