date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-02-10,2022,6,4,2585,1001.87206,423,1390,0,1683.0,902.0,56.0,7.0,643.0,623.64675,364981.06,114.0,641.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-02-11,2022,6,5,2560,892.15013,469,1261,0,1791.0,769.0,64.0,16.0,613.0,752.10203,994073.07,117.0,623.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-02-12,2022,6,6,343,133.5124,6,277,0,0.0,343.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-02-14,2022,7,1,2549,1065.08141,489,1385,0,1691.0,858.0,70.0,9.0,734.0,761.82321,570477.09,115.0,751.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-02-15,2022,7,2,2655,918.96344,417,1421,0,1525.0,1130.0,54.0,5.0,687.0,679.74256,650729.24,104.0,655.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-02-16,2022,7,3,3094,1138.21363,404,1644,0,1961.0,1133.0,64.0,7.0,619.0,637.52774,412672.0,185.0,639.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-02-17,2022,7,4,2769,997.60529,454,1526,0,1808.0,961.0,74.0,7.0,642.0,655.35572,834220.0599999999,105.0,618.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-02-18,2022,7,5,2825,941.64477,496,1420,0,1914.0,911.0,65.0,6.0,720.0,649.0506,535849.84,124.0,753.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-02-19,2022,7,6,520,283.25306,12,414,0,0.0,520.0,,,,,152461.56,3.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-02-20,2022,7,7,33,28.375,0,24,0,0.0,33.0,,,,,731202.71,16.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-02-21,2022,8,1,2652,973.73511,517,1326,0,1797.0,855.0,53.0,3.0,727.0,609.30981,524307.43,118.0,712.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-02-22,2022,8,2,2508,910.98937,571,1231,0,1503.0,1005.0,46.0,1.0,694.0,539.35113,374434.27,148.0,697.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-02-23,2022,8,3,2734,1067.31708,529,1430,0,1689.0,1045.0,73.0,17.0,696.0,992.97495,1063438.26,108.0,726.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-02-24,2022,8,4,2500,1022.31299,417,1377,0,1410.0,1090.0,61.0,9.0,583.0,666.39959,201033.96,113.0,577.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-02-25,2022,8,5,2532,899.16935,522,1331,0,1614.0,918.0,78.0,13.0,775.0,1004.70309,815579.92,106.0,763.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-02-26,2022,8,6,379,193.98436,10,326,0,42.0,337.0,,,,,305275.23,6.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
