date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-04-25,Saturday,0.0,110.63396181789977,110.63396181789977,656.7205752003531,66.35714234743084,8.121447475760148,796.0263101200851,55457.908592222,51.74527100109651,413.9621680087721,35.0,35,33,1,0,0,34,1,34,1,34,52,52,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2026-04-26,Sunday,0.0,0.0,0.0,665.8722459244017,67.91580849031311,6.795481267587251,810.09081481861,379622.24775872653,51.23579297654009,409.8863438123207,35.0,35,22,0,3,0,32,3,32,0,35,51,52,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,11,0,0,0,21,0,0
2026-04-27,Monday,1417.0420483475664,549.7768200986422,1966.8188684462086,629.6945954444984,61.80104187886128,7.605517365055857,779.6583835957931,433115.505811818,57.01917952583749,456.1534362066999,41.0,41,0,9,0,19,13,9,32,28,13,57,58,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,18,12,0,0
2026-04-28,Tuesday,1541.6959418931945,742.2359106108945,2283.931852504089,674.7490534138933,60.74558131243292,7.291596028252471,753.3974797890475,412518.8712622259,53.69741656275255,429.5793325020204,39.0,39,0,9,0,20,10,9,30,29,10,54,54,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,2,1,0,0,18,9,0,0
2026-04-29,Wednesday,1556.493473233665,742.8726346182883,2299.3661078519535,637.5871483000275,62.58672818073807,7.169526296056976,744.8617509312761,393451.02290479414,56.60453108899176,452.8362487119341,41.0,41,0,10,0,19,12,10,31,29,12,57,57,baseline,manual_or_suggested_history,7,0,0,0,3,0,0,0,0,1,0,0,19,11,0,0
2026-04-30,Thursday,1453.371386225957,703.5617574070045,2156.933143632961,659.0007683435833,62.16980789955654,7.131141643895175,721.1906420807233,397921.9295241927,57.07374712757568,456.58997702060543,41.0,41,0,9,0,22,10,9,32,31,10,57,58,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,21,9,0,0
2026-05-01,Friday,1163.8989009570053,488.8659020675768,1652.764803024582,623.7255080525906,65.14478700586724,7.824451159646606,803.2016477071862,282693.5842402332,57.30203550253762,458.41628402030096,40.0,40,0,5,0,20,15,5,35,25,15,57,58,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,0,4,0,0,20,11,0,0
2026-05-02,Saturday,0.0,89.24250153387906,89.24250153387906,649.8062424024248,64.00988659386354,7.8805267576498785,761.2115180527072,64952.24128897121,51.61769618353439,412.94156946827513,35.0,35,33,1,0,0,34,1,34,1,34,52,52,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2026-05-03,Sunday,0.0,0.0,0.0,663.7432611886325,65.33388076560654,7.011858940823158,770.2246992947864,360276.23153315886,51.93084929909281,415.4467943927425,35.0,35,22,0,2,0,33,2,33,0,35,52,52,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,12,0,0,0,21,0,0
2026-05-04,Monday,1421.6137896306827,558.3356222906389,1979.9494119213216,625.1084850251046,58.946122743121876,7.694457136670001,738.6193167587566,419564.71106136043,57.6289537945334,461.0316303562672,41.0,41,0,8,0,19,14,8,33,27,14,58,58,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,18,13,0,0
2026-05-05,Tuesday,1562.3886757385376,757.4763837719081,2319.8650595104455,669.0510586699133,57.92317313322676,7.4746488642933295,710.3557534243171,404908.9135587928,54.45804710694672,435.6643768555738,39.0,39,0,8,0,21,10,8,31,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-05-06,Wednesday,1579.700729345857,767.6914987093517,2347.3922280552088,644.6279126690072,59.88206043149319,7.01990175726821,701.7595264489519,398924.3010720439,55.59578661365349,444.7662929092279,40.0,40,0,9,0,21,10,9,31,30,10,56,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
